date,titleSlug,questionFrontendId,title,difficulty,acRate
2024-07-22,minimum-cost-to-reach-city-with-discounts,2093,Minimum Cost to Reach City With Discounts,Medium,60.1
2024-07-29,toss-strange-coins,1230,Toss Strange Coins,Medium,58.1
2024-08-01,longest-repeating-substring,1062,Longest Repeating Substring,Medium,63.4
2024-08-08,android-unlock-patterns,351,Android Unlock Patterns,Medium,53.7
2024-08-15,minimum-moves-to-get-a-peaceful-board,3189,Minimum Moves to Get a Peaceful Board,Medium,75.9
2024-08-22,generalized-abbreviation,320,Generalized Abbreviation,Medium,60.3
2024-08-29,path-sum-iv,666,Path Sum IV,Medium,62.8
2024-09-01,add-two-polynomials-represented-as-linked-lists,1634,Add Two Polynomials Represented as Linked Lists,Medium,61.0
2024-09-08,meeting-scheduler,1229,Meeting Scheduler,Medium,55.2
2024-09-15,smallest-common-region,1257,Smallest Common Region,Medium,68.3
2024-09-22,longest-word-with-all-prefixes,1858,Longest Word With All Prefixes,Medium,72.0
2024-09-29,implement-trie-ii-prefix-tree,1804,Implement Trie II (Prefix Tree),Medium,63.2
2024-10-01,largest-unique-number,1133,Largest Unique Number,Easy,71.3
2024-10-08,maximum-coins-heroes-can-collect,2838,Maximum Coins Heroes Can Collect,Medium,68.7
2024-10-15,first-unique-number,1429,First Unique Number,Medium,57.0
2024-10-22,the-knights-tour,2664,The Knight’s Tour,Medium,72.6
2024-10-29,paint-house-ii,265,Paint House II,Hard,56.9
2024-11-01,number-of-same-end-substrings,2955,Number of Same-End Substrings,Medium,61.6
2024-11-08,intersection-of-three-sorted-arrays,1213,Intersection of Three Sorted Arrays,Easy,80.0
2024-11-15,number-of-unique-flavors-after-sharing-k-candies,2107,Number of Unique Flavors After Sharing K Candies,Medium,60.5
2024-11-22,minimize-maximum-value-in-a-grid,2371,Minimize Maximum Value in a Grid,Hard,70.2
2024-11-29,distance-to-a-cycle-in-undirected-graph,2204,Distance to a Cycle in Undirected Graph,Hard,73.5
2024-12-01,find-the-celebrity,277,Find the Celebrity,Medium,48.9
2024-12-08,cutting-ribbons,1891,Cutting Ribbons,Medium,53.0
2024-12-15,maximal-range-that-each-element-is-maximum-in-it,2832,Maximal Range That Each Element Is Maximum in It,Medium,75.5
2024-12-22,lowest-common-ancestor-of-a-binary-tree-ii,1644,Lowest Common Ancestor of a Binary Tree II,Medium,69.5
2024-12-29,maximum-subarray-sum-after-one-operation,1746,Maximum Subarray Sum After One Operation,Medium,65.2
2025-01-01,perform-string-shifts,1427,Perform String Shifts,Easy,56.0
2025-01-08,unique-substrings-with-equal-digit-frequency,2168,Unique Substrings With Equal Digit Frequency,Medium,64.5
2025-01-15,shortest-path-to-get-food,1730,Shortest Path to Get Food,Medium,57.1
2025-01-22,sum-of-remoteness-of-all-cells,2852,Sum of Remoteness of All Cells,Medium,70.8
2025-01-29,graph-valid-tree,261,Graph Valid Tree,Medium,49.8
2025-02-01,distinct-numbers-in-each-subarray,1852,Distinct Numbers in Each Subarray,Medium,77.3
2025-02-08,make-the-prefix-sum-non-negative,2599,Make the Prefix Sum Non-negative,Medium,51.9
2025-02-15,design-most-recently-used-queue,1756,Design Most Recently Used Queue,Medium,77.7
2025-02-22,max-consecutive-ones-ii,487,Max Consecutive Ones II,Medium,51.9
2025-03-01,minimum-swaps-to-group-all-1s-together,1151,Minimum Swaps to Group All 1's Together,Medium,61.2
2025-03-08,find-k-length-substrings-with-no-repeated-characters,1100,Find K-Length Substrings With No Repeated Characters,Medium,76.4
2025-03-15,palindrome-permutation,266,Palindrome Permutation,Easy,68.6
2025-03-22,find-the-closest-marked-node,2737,Find the Closest Marked Node,Medium,65.3
2025-03-29,shortest-way-to-form-string,1055,Shortest Way to Form String,Medium,61.5
2025-04-01,shortest-distance-from-all-buildings,317,Shortest Distance from All Buildings,Hard,44.8
2025-04-08,number-of-connected-components-in-an-undirected-graph,323,Number of Connected Components in an Undirected Graph,Medium,64.8
2025-04-15,maximum-size-subarray-sum-equals-k,325,Maximum Size Subarray Sum Equals k,Medium,50.8
2025-04-22,smallest-rectangle-enclosing-black-pixels,302,Smallest Rectangle Enclosing Black Pixels,Hard,60.8
2025-04-29,sparse-matrix-multiplication,311,Sparse Matrix Multiplication,Medium,69.2
2025-05-01,design-snake-game,353,Design Snake Game,Medium,40.0
2025-05-08,logger-rate-limiter,359,Logger Rate Limiter,Easy,76.8
2025-05-15,bomb-enemy,361,Bomb Enemy,Medium,52.8
2025-05-22,first-unique-number,1429,First Unique Number,Medium,57.0
2025-05-29,delete-n-nodes-after-m-nodes-of-a-linked-list,1474,Delete N Nodes After M Nodes of a Linked List,Easy,74.4
2025-06-01,distribute-candies-among-children-iii,2927,Distribute Candies Among Children III,Hard,57.2
2025-06-08,verify-preorder-sequence-in-binary-search-tree,255,Verify Preorder Sequence in Binary Search Tree,Medium,51.7
2025-06-15,equal-tree-partition,663,Equal Tree Partition,Medium,42.3
2025-06-22,k-empty-slots,683,K Empty Slots,Hard,37.9
2025-06-29,convert-binary-search-tree-to-sorted-doubly-linked-list,426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,65.6
2025-07-01,largest-bst-subtree,333,Largest BST Subtree,Medium,45.8
2025-07-08,inorder-successor-in-bst,285,Inorder Successor in BST,Medium,51.1
2025-07-15,word-squares,425,Word Squares,Hard,54.6
2025-07-22,word-abbreviation,527,Word Abbreviation,Hard,62.7
2025-07-29,closest-binary-search-tree-value-ii,272,Closest Binary Search Tree Value II,Hard,61.1
2025-08-01,binary-tree-vertical-order-traversal,314,Binary Tree Vertical Order Traversal,Medium,57.7
2025-08-08,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.8
2025-08-15,design-file-system,1166,Design File System,Medium,65.1
2025-08-22,before-and-after-puzzle,1181,Before and After Puzzle,Medium,51.8
2025-08-29,shortest-distance-to-target-color,1182,Shortest Distance to Target Color,Medium,56.5
2025-09-01,campus-bikes-ii,1066,Campus Bikes II,Medium,55.9
2025-09-08,largest-unique-number,1133,Largest Unique Number,Easy,71.3
2025-09-15,check-if-a-number-is-majority-element-in-a-sorted-array,1150,Check If a Number Is Majority Element in a Sorted Array,Easy,59.9
2025-09-22,analyze-user-website-visit-pattern,1152,Analyze User Website Visit Pattern,Medium,44.2
2025-09-29,divide-array-into-increasing-sequences,1121,Divide Array Into Increasing Sequences,Hard,65.4
2025-10-01,connecting-cities-with-minimum-cost,1135,Connecting Cities With Minimum Cost,Medium,63.4
2025-10-08,minimize-max-distance-to-gas-station,774,Minimize Max Distance to Gas Station,Hard,53.9
2025-10-15,coin-path,656,Coin Path,Hard,34.2
2025-10-22,dot-product-of-two-sparse-vectors,1570,Dot Product of Two Sparse Vectors,Medium,89.9
2025-10-29,minimum-subarrays-in-a-valid-split,2464,Minimum Subarrays in a Valid Split,Medium,64.7
2025-11-01,maximum-number-of-ones,1183,Maximum Number of Ones,Hard,70.5
2025-11-08,two-sum-iii-data-structure-design,170,Two Sum III - Data structure design,Easy,39.1
2025-11-15,3sum-smaller,259,3Sum Smaller,Medium,51.3
2025-11-22,nested-list-weight-sum-ii,364,Nested List Weight Sum II,Medium,66.7
2025-11-29,range-addition,370,Range Addition,Medium,72.9
2025-12-06,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,62.1
2025-12-01,two-sum-bsts,1214,Two Sum BSTs,Medium,68.1
2025-12-08,minimize-product-sum-of-two-arrays,1874,Minimize Product Sum of Two Arrays,Medium,89.9
2025-12-15,binary-tree-longest-consecutive-sequence,298,Binary Tree Longest Consecutive Sequence,Medium,54.6
2025-12-22,binary-tree-longest-consecutive-sequence-ii,549,Binary Tree Longest Consecutive Sequence II,Medium,50.0
2025-12-29,diet-plan-performance,1176,Diet Plan Performance,Easy,55.8
2026-01-01,design-a-leaderboard,1244,Design A Leaderboard,Medium,68.1
2026-01-08,the-maze,490,The Maze,Medium,60.3
2026-01-15,the-maze-ii,505,The Maze II,Medium,54.9
2026-01-22,the-maze-iii,499,The Maze III,Hard,52.2
2026-01-29,walls-and-gates,286,Walls and Gates,Medium,63.8
